ID,LoA,IPName,Project,District,Subcounty,Parish,Village,FFS Name,GroupStatus,Formation,GPS_Eastings,GPS_Northings,Facilitator,Contact,Sex,MaleMembers,FemaleMembers,PWD Males,PWD Females,TotalMembership,VC_Enterprise_Activity1,VC_Enterprise_Activity2,VC_Enterprise_Activity3,VC_Enterprise_Act 4
1,,KADP,UNJP/UGA/068/EC,MOROTO,KATIKEKILE,,,KITOPOLOI FFS,Old,2021,,,,,Female,11,19,,,30,CEREAL BANKING,,,
2,,KADP,UNJP/UGA/068/EC,MOROTO,KATIKEKILE,,,LOKAMURIAE FFS,Old,2021,,,,,,13,17,,,30,GOAT REARING,,,
3,,KADP,UNJP/UGA/068/EC,MOROTO,KATIKEKILE,,,KIURIARAE FFS,Old,2021,,,,,,11,19,,,30,GOAT REARING,,,
4,,KADP,UNJP/UGA/068/EC,MOROTO,KATIKEKILE,,,NAKILORO FFFS,Old,2021,,,,,,9,21,,,30,VEGETABLE GROWING ,,,
5,,KADP,UNJP/UGA/068/EC,MOROTO,KATIKEKILE,,,AKADON FFS,Old,2021,,,,,Female,11,19,,,30,"GOAT REARING, VEGETABLE GROWING,APIARY",,,
6,,KADP,UNJP/UGA/068/EC,MOROTO,KATIKEKILE,,,ADOLUKORI FFS,Old,2021,,,,,,9,21,,,30,"GOAT REARING, VEGETABLE GROWING,APIARY",,,
7,,KADP,UNJP/UGA/068/EC,MOROTO,KATIKEKILE,,,LOOBORE FFS ,Old,2021,,,,,,12,18,,,30,"GOAT REARING ,CEREAL BANKING ,APIARY",,,
8,,KADP,UNJP/UGA/068/EC,MOROTO,KATIKEKILE,,,OYAKAS FFS,Old,2021,,,,,,18,12,,,30,"CEREAL BANKING,GOAT REARING,VEGETABLE GROWING ",,,
9,,KADP,UNJP/UGA/068/EC,MOROTO,LOPUTUK,,, ETETEUNOS OBARA FFS,Old,2017,,,,,Male,6,24,,,30,"GOAT REARING ,VEGETABLE GROWING ",,,
10,,KADP,UNJP/UGA/068/EC,MOROTO,LOPUTUK,,,ORUCHOKINOS FFS,Old,2017,,,,,,13,17,,,30,"VEGETABLE GROWING,BEANS GROWING ,GOAT REARING",,,
11,,KADP,UNJP/UGA/068/EC,MOROTO,LOPUTUK,,,ECHIDATHI NGAKINYINYIR FFS,Old,2017,,,,,,15,15,,,30,"SORGHUM GROWING,VEGETABLE GROWING,GOAT REARING ",,,
12,,KADP,UNJP/UGA/068/EC,MOROTO,LOPUTUK,,,NATANAKWE FFS,Old,2017,,,,,,12,18,,,30,"VEGETABLE GROWING,GOAT REARING ,SORGHUM ",,,
13,,KADP,UNJP/UGA/068/EC,MOROTO,LOPUTUK,,,LOKORETE FFS,Old,2021,,,,,Male,10,20,,,30,"VEGETABLE GROWING,GOAT REARING ,SORGHUM ",,,
14,,KADP,UNJP/UGA/068/EC,MOROTO,LOPUTUK,,,NAKADENGAN FFS,Old,2021,,,,,,11,19,,,30,"VEGETABLE GROWING,GOAT REARING ,SORGHUM ",,,
15,,KADP,UNJP/UGA/068/EC,MOROTO,LOPUTUK,,,LOPEDURU FFS,Old,2021,,,,,,10,20,,,30,"VEGETABLE GROWING,GOAT REARING ,SORGHUM ",,,
16,,KADP,UNJP/UGA/068/EC,MOROTO,LOPUTUK,,,EMORIKINOS FFS,Old,2021,,,,,,16,14,,,30,"VEGETABLE GROWING,GOAT REARING ,SORGHUM ",,,
17,,KADP,UNJP/UGA/068/EC,MOROTO,TAPAC,,,SULELE FFS ,Old,2023,,,,,Male,3,27,,,30,"MAIZE GROWING,BEANS GROWING ,SUNFLOWER GROWING",,,
18,,KADP,UNJP/UGA/068/EC,MOROTO,TAPAC,,,KALONGERER FFS ,Old,2023,,,,,,20,10,,,30,"MAIZE GROWING,BEANS GROWING,SORGHUM GROWING",,,
