ID,LoA,IPName,Project,District,Subcounty,Parish,Village,FFS Name,GroupStatus,Formation,GPS_Eastings,GPS_Northings,Facilitator,Contact,Sex,MaleMembers,FemaleMembers,PWD Males,PWD Females,TotalMembership,VC_Enterprise_Activity1,VC_Enterprise_Activity2,VC_Enterprise_Activity3,VC_Enterprise_Act 4
1,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Nawokotelei,Old,2021,,,,,,,,,,,,,,
2,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Looi,Old,2021,,,,,,,,,,,,,,
3,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Lonangat,Old,2021,,,,,,,,,,,,,,
4,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Lokitela united,Old,2021,,,,,,,,,,,,,,
5,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Lolepon,Old,2021,,,,,,,,,,,,,,
6,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Lolelia,Old,2021,,,,,,,,,,,,,,
7,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Nakileeth,Old,2021,,,,,,,,,,,,,,
8,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Lobobore,New ,2021,,,,,,,,,,,,,,
9,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Natapai,New ,2021,,,,,,,,,,,,,,
10,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Ajokis Ka akuj,Old,2021,,,,,,,,,,,,,,
11,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Nakadilit,Old,2021,,,,,,,,,,,,,,
12,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Aleluiah,Old,2021,,,,,,,,,,,,,,
13,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Akucho,Old,2021,,,,,,,,,,,,,,
14,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Nasola ,Old,2021,,,,,,,,,,,,,,
15,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Lotende,Old,2021,,,,,,,,,,,,,,
16,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Nakoreato,Old,2021,,,,,,,,,,,,,,
17,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Nakamistai,Old,2021,,,,,,,,,,,,,,
18,,ECO,UNJP/UGA/068/EC,Nabilatuk,Kosike,,,Adwaramukung,Old,2021,,,,,,,,,,,,,,
19,,ECO,UNJP/UGA/068/EC,Nabilatuk,Kosike,,,Tonyou Tochau,New,2025,,,,,,,,,,,,,,
